DataHora,Carteira,Concurso Alvo,Perfil,Dezenas,Score,Soma,Pares,Impares,Status,Acertos
2026-06-12T10:05:52-03:00,2,3709,Diamante,01-02-04-05-06-07-09-12-13-18-20-21-22-24-25,494.515100,189,8,7,PENDENTE,0
2026-06-12T10:05:52-03:00,2,3709,Ouro,01-02-03-04-07-09-10-12-13-18-20-21-22-24-25,475.688900,191,8,7,PENDENTE,0
2026-06-12T10:05:52-03:00,2,3709,Prata,01-03-04-05-07-08-09-10-13-18-20-21-22-24-25,468.599300,190,7,8,PENDENTE,0
2026-06-12T10:05:52-03:00,2,3709,Agressivo,01-03-04-05-06-07-08-12-13-15-18-20-21-24-25,461.026900,182,7,8,PENDENTE,0
2026-06-12T10:05:52-03:00,2,3709,Conservador,01-03-04-05-06-08-09-12-13-18-20-21-22-24-25,495.323000,191,8,7,PENDENTE,0
2026-06-12T10:06:21-03:00,3,3709,Diamante,01-03-04-05-06-08-09-12-13-18-20-21-22-24-25,495.323000,191,8,7,PENDENTE,0
2026-06-12T10:06:21-03:00,3,3709,Ouro,02-03-04-07-08-09-11-12-15-18-20-21-22-24-25,475.504000,201,8,7,PENDENTE,0
2026-06-12T10:06:21-03:00,3,3709,Prata,01-03-05-06-07-08-11-12-13-18-20-21-22-24-25,467.984200,196,7,8,PENDENTE,0
2026-06-12T10:06:21-03:00,3,3709,Agressivo,01-03-04-08-09-10-11-12-13-15-18-20-21-22-25,460.967800,192,7,8,PENDENTE,0
2026-06-12T10:06:21-03:00,3,3709,Conservador,01-02-04-05-06-07-09-12-13-18-20-21-22-24-25,494.515100,189,8,7,PENDENTE,0
2026-06-12T10:20:08-03:00,2,3597,Diamante,01-03-04-05-06-08-09-12-13-18-20-21-22-24-25,495.323000,191,8,7,PENDENTE,0
2026-06-12T10:20:08-03:00,2,3597,Ouro,01-03-04-05-07-08-10-11-12-13-18-20-21-22-25,476.052900,180,7,8,PENDENTE,0
2026-06-12T10:20:08-03:00,2,3597,Prata,02-03-04-05-07-08-12-13-15-18-20-21-22-24-25,468.147900,199,8,7,PENDENTE,0
2026-06-12T10:20:08-03:00,2,3597,Agressivo,02-03-04-05-06-08-09-12-13-15-18-21-22-24-25,461.311700,187,8,7,PENDENTE,0
2026-06-12T10:20:08-03:00,2,3597,Conservador,01-02-04-05-06-07-09-12-13-18-20-21-22-24-25,494.515100,189,8,7,PENDENTE,0
2026-06-12T14:19:04-03:00,11,3597,Diamante,01-02-03-05-06-07-09-12-13-18-20-21-22-24-25,488.192900,188,7,8,PENDENTE,0
2026-06-12T14:19:04-03:00,11,3597,Ouro,01-02-03-04-07-08-09-11-13-18-20-21-22-24-25,484.372400,188,7,8,PENDENTE,0
2026-06-12T14:19:04-03:00,11,3597,Prata,03-04-05-07-08-10-11-12-13-15-18-20-21-22-25,480.025100,194,7,8,PENDENTE,0
2026-06-12T14:19:04-03:00,11,3597,Agressivo,02-03-05-07-08-09-10-11-12-15-18-20-21-22-24,462.711700,187,8,7,PENDENTE,0
2026-06-12T14:19:04-03:00,11,3597,Conservador,01-04-05-06-07-08-09-10-12-15-18-20-21-24-25,476.957500,185,8,7,PENDENTE,0
2026-06-12T14:19:17-03:00,3,3597,Diamante,03-04-05-06-08-09-11-12-13-15-18-20-21-22-25,478.906700,192,7,8,PENDENTE,0
2026-06-12T14:19:17-03:00,3,3597,Ouro,01-02-04-05-06-07-09-12-13-18-20-21-22-24-25,504.515100,189,8,7,PENDENTE,0
2026-06-12T14:19:17-03:00,3,3597,Prata,01-03-05-06-07-08-09-10-13-18-20-21-22-24-25,478.701500,192,7,8,PENDENTE,0
2026-06-12T14:19:17-03:00,3,3597,Agressivo,01-02-03-04-07-08-09-11-13-18-20-21-22-24-25,484.372400,188,7,8,PENDENTE,0
2026-06-12T14:19:17-03:00,3,3597,Conservador,01-02-03-04-08-09-10-12-13-15-18-20-21-22-25,470.261500,183,8,7,PENDENTE,0
2026-06-12T14:19:45-03:00,11,3597,Diamante,01-02-03-04-07-09-10-12-13-18-20-21-22-24-25,485.688900,191,8,7,PENDENTE,0
2026-06-12T14:19:45-03:00,11,3597,Ouro,01-03-04-05-06-08-09-12-13-18-20-21-22-24-25,505.323000,191,8,7,PENDENTE,0
2026-06-12T14:19:45-03:00,11,3597,Prata,01-02-04-05-07-08-09-11-12-18-20-21-22-24-25,497.546900,189,8,7,PENDENTE,0
2026-06-12T14:19:45-03:00,11,3597,Agressivo,02-03-04-05-06-07-09-12-13-15-18-21-22-24-25,479.176200,186,7,8,PENDENTE,0
2026-06-12T14:19:45-03:00,11,3597,Conservador,03-04-06-07-08-09-10-11-13-15-18-20-21-22-25,486.612300,192,7,8,PENDENTE,0
2026-06-12T14:19:59-03:00,11,3597,Diamante,01-02-03-05-06-08-09-12-13-18-20-21-22-24-25,481.328400,189,8,7,PENDENTE,0
2026-06-12T14:19:59-03:00,11,3597,Ouro,01-02-04-05-07-08-09-11-12-18-20-21-22-24-25,497.546900,189,8,7,PENDENTE,0
2026-06-12T14:19:59-03:00,11,3597,Prata,01-03-04-05-07-08-10-11-12-13-18-20-21-22-25,476.052900,180,7,8,PENDENTE,0
2026-06-12T14:19:59-03:00,11,3597,Agressivo,03-05-06-07-08-09-10-11-13-15-18-20-21-22-24,484.629100,192,7,8,PENDENTE,0
2026-06-12T14:19:59-03:00,11,3597,Conservador,02-03-04-05-06-07-09-12-13-15-18-21-22-24-25,479.176200,186,7,8,PENDENTE,0
2026-06-12T14:20:18-03:00,11,3597,Diamante,01-03-04-05-06-08-09-12-13-18-20-21-22-24-25,505.323000,191,8,7,PENDENTE,0
2026-06-12T14:20:18-03:00,11,3597,Ouro,03-05-06-07-08-09-10-11-13-15-18-20-21-22-24,484.629100,192,7,8,PENDENTE,0
2026-06-12T14:20:18-03:00,11,3597,Prata,01-02-04-05-07-08-09-11-12-18-20-21-22-24-25,497.546900,189,8,7,PENDENTE,0
2026-06-12T14:20:18-03:00,11,3597,Agressivo,01-03-04-07-08-09-10-11-12-15-18-20-21-22-25,473.254600,186,7,8,PENDENTE,0
2026-06-12T14:20:18-03:00,11,3597,Conservador,01-02-03-04-08-09-11-12-13-15-18-20-21-24-25,469.019400,186,7,8,PENDENTE,0
2026-06-12T14:40:53-03:00,3,3709,Diamante,01-03-04-05-06-08-09-12-13-18-20-21-22-24-25,495.323000,191,8,7,PENDENTE,0
2026-06-12T14:40:53-03:00,3,3709,Ouro,02-03-04-07-08-09-11-12-15-18-20-21-22-24-25,475.504000,201,8,7,PENDENTE,0
2026-06-12T14:40:53-03:00,3,3709,Prata,01-02-03-04-07-08-10-12-13-18-20-21-22-24-25,467.773900,190,9,6,PENDENTE,0
2026-06-12T14:40:53-03:00,3,3709,Agressivo,02-03-04-05-08-09-10-12-13-15-18-20-21-22-25,461.369300,187,8,7,PENDENTE,0
2026-06-12T14:40:53-03:00,3,3709,Conservador,01-02-04-05-06-07-09-12-13-18-20-21-22-24-25,494.515100,189,8,7,PENDENTE,0
